"fecha";"nombre_experimento";"categoria";"id_request";"request";"request_response";"tipo_resultado";"resultado_esperado";"resultado_obtenido";"LOGIN_LIMITER_MAX"
"2024-03-16 14:26:02.381119";"experimento_integridad_005_sql_injection";"integridad";"1";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '6680'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.383764";"experimento_integridad_005_sql_injection";"integridad";"2";"{'username': ""' OR 1=1#"", 'password': 'Password1!', 'code': '9824'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.385530";"experimento_integridad_005_sql_injection";"integridad";"3";"{'username': ""' OR ''='"", 'password': 'Password1!', 'code': '6303'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.387064";"experimento_integridad_005_sql_injection";"integridad";"4";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '5904'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.388609";"experimento_integridad_005_sql_injection";"integridad";"5";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '6298'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.390885";"experimento_integridad_005_sql_injection";"integridad";"6";"{'username': ""' OR '1'='1' /*"", 'password': 'Password1!', 'code': '9481'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.393110";"experimento_integridad_005_sql_injection";"integridad";"7";"{'username': ""' OR 1=1#"", 'password': 'Password1!', 'code': '7618'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.395642";"experimento_integridad_005_sql_injection";"integridad";"8";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '7377'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.397938";"experimento_integridad_005_sql_injection";"integridad";"9";"{'username': ""' OR 1=1/*"", 'password': 'Password1!', 'code': '5412'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.399712";"experimento_integridad_005_sql_injection";"integridad";"10";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '4487'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.401314";"experimento_integridad_005_sql_injection";"integridad";"11";"{'username': ""' OR '1'='1"", 'password': 'Password1!', 'code': '4223'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.402851";"experimento_integridad_005_sql_injection";"integridad";"12";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '1751'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.404360";"experimento_integridad_005_sql_injection";"integridad";"13";"{'username': ""' OR '1'='1' -- "", 'password': 'Password1!', 'code': '8852'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.405903";"experimento_integridad_005_sql_injection";"integridad";"14";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '0103'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.409048";"experimento_integridad_005_sql_injection";"integridad";"15";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '7177'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.411674";"experimento_integridad_005_sql_injection";"integridad";"16";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '7641'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.413865";"experimento_integridad_005_sql_injection";"integridad";"17";"{'username': ""' OR ''='"", 'password': 'Password1!', 'code': '1187'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.415714";"experimento_integridad_005_sql_injection";"integridad";"18";"{'username': ""' OR 1=1#"", 'password': 'Password1!', 'code': '6096'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.417603";"experimento_integridad_005_sql_injection";"integridad";"19";"{'username': ""' OR ''='"", 'password': 'Password1!', 'code': '0921'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.419300";"experimento_integridad_005_sql_injection";"integridad";"20";"{'username': ""' OR '1'='1' -- "", 'password': 'Password1!', 'code': '9749'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.420919";"experimento_integridad_005_sql_injection";"integridad";"21";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '7011'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.422553";"experimento_integridad_005_sql_injection";"integridad";"22";"{'username': ""' OR '1'='1' -- "", 'password': 'Password1!', 'code': '7684'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.425462";"experimento_integridad_005_sql_injection";"integridad";"23";"{'username': ""' OR '1'='1' -- "", 'password': 'Password1!', 'code': '7876'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.428009";"experimento_integridad_005_sql_injection";"integridad";"24";"{'username': ""' OR '1'='1' -- "", 'password': 'Password1!', 'code': '5871'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.430342";"experimento_integridad_005_sql_injection";"integridad";"25";"{'username': ""' OR ''='"", 'password': 'Password1!', 'code': '5425'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.432076";"experimento_integridad_005_sql_injection";"integridad";"26";"{'username': ""' OR 1=1#"", 'password': 'Password1!', 'code': '7880'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.433643";"experimento_integridad_005_sql_injection";"integridad";"27";"{'username': ""' OR '1'='1' -- "", 'password': 'Password1!', 'code': '7660'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.435208";"experimento_integridad_005_sql_injection";"integridad";"28";"{'username': ""' OR ''='"", 'password': 'Password1!', 'code': '8832'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.436698";"experimento_integridad_005_sql_injection";"integridad";"29";"{'username': ""' OR '1'='1' -- "", 'password': 'Password1!', 'code': '4818'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.438153";"experimento_integridad_005_sql_injection";"integridad";"30";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '6042'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.442162";"experimento_integridad_005_sql_injection";"integridad";"31";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '1501'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.444811";"experimento_integridad_005_sql_injection";"integridad";"32";"{'username': ""' OR '1'='1' /*"", 'password': 'Password1!', 'code': '6970'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.447036";"experimento_integridad_005_sql_injection";"integridad";"33";"{'username': ""' OR '1'='1"", 'password': 'Password1!', 'code': '0307'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.448593";"experimento_integridad_005_sql_injection";"integridad";"34";"{'username': ""' OR 1=1#"", 'password': 'Password1!', 'code': '0832'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.450042";"experimento_integridad_005_sql_injection";"integridad";"35";"{'username': ""' OR 1=1#"", 'password': 'Password1!', 'code': '1769'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.451496";"experimento_integridad_005_sql_injection";"integridad";"36";"{'username': ""' OR '1'='1"", 'password': 'Password1!', 'code': '6154'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.453188";"experimento_integridad_005_sql_injection";"integridad";"37";"{'username': ""' OR 1=1 -- "", 'password': 'Password1!', 'code': '5869'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.454800";"experimento_integridad_005_sql_injection";"integridad";"38";"{'username': ""' OR 1=1/*"", 'password': 'Password1!', 'code': '1861'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.458011";"experimento_integridad_005_sql_injection";"integridad";"39";"{'username': ""' OR 1=1/*"", 'password': 'Password1!', 'code': '9955'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.461225";"experimento_integridad_005_sql_injection";"integridad";"40";"{'username': ""' OR '1'='1' /*"", 'password': 'Password1!', 'code': '0814'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
"2024-03-16 14:26:02.464334";"experimento_integridad_005_sql_injection";"integridad";"41";"{'username': ""' OR ''='"", 'password': 'Password1!', 'code': '7667'}";"{""error"":""SQL Detected in Request, Rejected.""}";"status_code";"403";"403";"1000"
